41	Caux	1944-12-07		Esplanade	Flüchtlingsheim
41	Grand Lancy	1945-09-01		NULL	Heim für Intellektuelle
43	Caux	1944-12-07		Esplanade	Flüchtlingsheim
43	Grand Lancy	1945-09-01		NULL	Heim für Intellektuelle
44	Les Avants	1943-05-01		Des Sports	Flüchtlingsheim
44	Morgins	1943-10-01		Grand Hotel	Flüchtlingsheim
45	Ligornetto	1944-04-12		NULL	unbekannt
45	Bellinzona	1944-04-13		Casa d' Italia	Auffanglager
45	Rovio	1944-04-14		Ala Materna	Flüchtlingsheim
45	Territet	1944-09-01		Bristol	Flüchtlingsheim
46	Zürichhorn	1943-03-01		NULL	Sonderbetrieb
46	Kemleten	1940-08-01		NULL	Arbeitslager für Emigranten
46	Vouvry	1941-03-01		NULL	Arbeitslager für Emigranten
46	Fällanden	1940-02-01		Jugendherberge	Emigrantenlager
46	Zürich	1943-07-01		NULL	Sonderbetrieb
47	Davos	1946-01-01		Etania	Sanatorium
47	Davos	1947-01-01		Aela	Sanatorium
49	Clarens	1946-09-16		Mirabeau	Flüchtlingsheim
49	Les Avants	1945-02-07		Des Sports	Flüchtlingsheim
49	Prêles	1945-03-01		Mon Souhait	Flüchtlingsheim
49	Vevey	1949-02-26		Les Bergers du Léman	Altersheim
49	Lugano - Castagnola	1945-11-01		Rheingold	Flüchtlingsheim
50	Champel	1944-02-01		Villa Hirondelles	unbekannt
50	Petit-Saconnex	1944-04-05		NULL	unbekannt
50	Geisshof - Bremgarten	1944-05-13		NULL	Arbeitslager für Emigranten
52	Petit-Saconnex	1944-04-05		NULL	unbekannt
52	Geisshof - Bremgarten	1944-06-26		NULL	Arbeitslager für Emigranten
52	Champel	1944-02-01		Villa Hirondelles	unbekannt
52	Kriens	1944-10-30		Sonnenberg	Flüchtlingsheim
54	Les Avants	1945-02-07		Des Sports	Flüchtlingsheim
54	Prêles	1945-03-01		Mon Souhait	Flüchtlingsheim
54	Clarens	1946-09-16		Mirabeau	Flüchtlingsheim
54	Lugano - Castagnola	1945-11-01		Rheingold	Flüchtlingsheim
54	Territet	1946-05-28		Bristol	Flüchtlingsheim
54	Vevey	1949-02-26		Les Bergers du Léman	Altersheim
61	Mezzovico	1943-05-01		NULL	Arbeitslager für Flüchtlinge
61	Vicosoprano	1943-10-01		Helvetia	Flüchtlingsheim
61	Morgins	1944-03-01		De la Forêt	Flüchtlingsheim
61	Aeugsterthal	1944-02-01		NULL	Auffanglager
64	Morgins	1944-02-01		De la Forêt	Flüchtlingsheim
64	Neuhausen	1943-04-01		Bellevue	Flüchtlingsheim
66	Bonstetten	1943-04-01		NULL	Arbeitslager für Flüchtlinge
66	Gelterkinden - Waldegg	1943-08-01		NULL	Arbeitslager für Flüchtlinge
66	Champéry	1944-09-01		Villa Sévigné	Flüchtlingsheim
66	Pottersalp / Säntis	1944-07-01		NULL	Arbeitslager für Flüchtlinge
68	Brissago	1943-04-01		Grand Hotel	Flüchtlingsheim
68	Aeugsterthal	1942-11-01		NULL	Auffanglager
70	Oberhelfenschwil	1942-10-26		NULL	Arbeitslager für Emigranten
71	Möhlin	1943-09-08		NULL	Arbeitslager für Flüchtlinge
72	Birmensdorf	1944-01-01		NULL	Arbeitslager für Flüchtlinge
72	Täsch	1945-02-01		Täschhorn	Flüchtlingsheim
73	Davos	1947-05-01		Etania	Sanatorium
73	Davos	1947-08-21		Anna Maria	Sanatorium
74	Hemberg	1943-01-01		NULL	Auffanglager
74	Böckten	1945-01-01		NULL	Flüchtlingsheim
74	Lugano - Castagnola	1946-06-26		Rheingold	Flüchtlingsheim
75	La Rosiaz	1942-11-01		Beau Soleil	Flüchtlingsheim
79	Rovio	1943-11-21		Ala Materna	Flüchtlingsheim
83	Aeugsterthal	1942-01-01		NULL	Auffanglager
83	Hedingen	1943-01-01		NULL	Arbeitslager für Flüchtlinge
83	Magliaso	1943-01-01		Casa Geiser	Flüchtlingsheim
85	Brissago	1943-01-01		Casa San Giorgio	Flüchtlingsheim
86	Magliaso	1944-01-01		Casa Geiser	Flüchtlingsheim
86	Lugano - Ruvigliana	1944-08-01		Monte Bré	Flüchtlingsheim
87	Luzern	1944-01-01		Tivoli	Flüchtlingsheim
87	Lugano - Ruvigliana	1945-01-01		Monte Bré	Flüchtlingsheim
92	Neuhausen	1942-01-01		Bellevue	Flüchtlingsheim
92	Lengnau	1945-11-01		NULL	Arbeitslager für Flüchtlinge
93	Luzern	1944-10-01		Tivoli	Flüchtlingsheim
98	Davos	1947-10-01		Etania	Sanatorium
99	Vevey	1972-04-11		Les Bergers du Léman	Altersheim
100	Vouvry	1941-07-20		NULL	Arbeitslager für Emigranten
100	Visp	1942-09-01		NULL	Arbeitslager für Flüchtlinge
104	Büren a/A	1942-10-04		NULL	Arbeitslager für Flüchtlinge
104	Prêles	1943-04-01		Mon Souhait	Flüchtlingsheim
104	Davos	1943-08-01		Etania	Sanatorium
105	Davos	1946-07-01		Höhwald	Sanatorium
105	Davos	1947-03-01		Anna Maria	Sanatorium
105	Davos	1947-11-01		Eugenia	Sanatorium
105	Davos	1945-11-01		Bristol	Sanatorium
105	Davos	1945-08-01		Etania	Sanatorium
105	Lugano	1948-07-01		Bernerhof	Altersheim
107	Sugiez - Les Vernes	1940-06-30		NULL	unbekannt
107	Lengnau	1940-08-10		NULL	Arbeitslager für Flüchtlinge
107	Bellechasse	1939-01-01		NULL	Strafanstalt
107	Raron	1942-08-27		NULL	Arbeitslager für Flüchtlinge
108	Moudon	1942-09-01		Bel -  Air	Flüchtlingsheim
108	Morgins	1944-01-01		Grand Hotel	Flüchtlingsheim
108	Champéry	1944-11-01		Villa Sévigné	Flüchtlingsheim
109	Moudon	1942-09-01		Bel -  Air	Flüchtlingsheim
109	Champéry	1944-11-01		Villa Sévigné	Flüchtlingsheim
109	St. Cergue	1943-01-01		Auberson	Flüchtlingsheim
110	Prêles	1945-04-01		Mon Souhait	Flüchtlingsheim
110	Clarens	1948-11-01		Mirabeau	Flüchtlingsheim
110	Lugano - Castagnola	1945-10-01		Rheingold	Flüchtlingsheim
110	Lugano - Ruvigliana	1947-01-01		Monte Bré	Flüchtlingsheim
110	Vevey	1962-01-01		Les Bergers du Léman	Altersheim
113	Lausanne-Ouchy	1946-01-01		Tour Haldimand	Auffanglager
113	Clarens	1946-09-05		Beau Site	Flüchtlingsheim
113	Beatenberg	1945-11-01		Schweizerhof	Flüchtlingsheim
119	Trevano (bei Lugano)	1945-08-01		Castello	Schulheim
119	Wallisellen	1946-03-01		NULL	Schul- und Werkstättenlager
119	Rheinfelden	1945-06-01		NULL	Quarantänelager für Rückwanderer
120	Hemberg	1944-01-01		NULL	Auffanglager
120	Fribourg	1944-07-01		La Chassotte	Schulheim
121	Balgrist	1950-01-10		NULL	Krankenhaus
121	Bern	1945-07-07		Tiefenauspital	Krankenhaus
121	Davos	1945-10-09		Parksanatorium	Sanatorium
121	Davos	1946-09-20		Anna Maria	Sanatorium
121	Davos	1948-01-14		Etania	Sanatorium
121	Leysin	1950-06-01		Sanatorium Univérsitaire Suisse	Sanatorium
121	Leysin	1950-10-20		Les Hirondelles	Sanatorium
121	Leysin	1951-01-18		Le Roselier	Sanatorium
121	Leysin	1951-04-17		Mimosa	Sanatorium
121	Davos	1947-10-05		Eugenia	Sanatorium
122	Ampfernhöhe	1942-10-01		NULL	Arbeitslager für Flüchtlinge
122	Engelberg	1944-06-01		Central	Flüchtlingsheim
123	Leysin	1947-05-01		La Valerette	Sanatorium
126	Möhlin	1945-06-01		NULL	Quarantänelager für Rückwanderer
127	Les Avants	1945-04-01		Des Sports	Flüchtlingsheim
127	Brissago	1945-08-16		Grand Hotel	Flüchtlingsheim
129	Adliswil	1942-09-25		NULL	Auffanglager
129	Sumiswald	1943-06-07		Pension Engelberg	Flüchtlingsheim
129	Luzern	1943-09-01		Tivoli	Flüchtlingsheim
130	Thalheim	1940-12-01		NULL	Arbeitslager für Emigranten
133	Montreux	1945-01-01		Les Terrasses	Flüchtlingsheim
133	Fribourg	1943-11-01		La Chassotte	Schulheim
137	Clarens	1944-05-01		Beau Site	Flüchtlingsheim
138	Montana	1944-05-01		NULL	Arbeitslager für Flüchtlinge
138	Arisdorf	1943-07-01		NULL	Arbeitslager für Emigranten
140	Burg - Schloss	1943-08-01		NULL	Arbeitslager für Flüchtlinge
140	Leysin	1943-07-01		Les Arolles	Interniertenheim
142	Vevey	1969-09-10		Les Bergers du Léman	Altersheim
148	La Rosiaz	1943-01-01		Beau Soleil	Flüchtlingsheim
148	Genf	1945-02-01		Frontenex	Heim für Intellektuelle
150	Oberglatt	1940-05-01		NULL	Arbeitslager für Emigranten
150	Locarno	1941-12-01		NULL	Arbeitslager für Flüchtlinge
151	Caux	1944-12-07		Esplanade	Flüchtlingsheim
151	Täsch	1945-01-01		Täschhorn	Flüchtlingsheim
152	Caux	1944-12-07		Esplanade	Flüchtlingsheim
152	Täsch	1945-01-01		Täschhorn	Flüchtlingsheim
156	Diepoldsau	1938-08-09		unbekannt	Emigrantenlager
156	Davesco	1940-12-01		NULL	Arbeitslager für Emigranten
156	Felsberg	1940-05-01		NULL	Arbeitslager für Emigranten
157	Les Geneveys - sur - Coffrane	1942-09-30		NULL	Auffanglager
157	Hedingen	1942-10-15		NULL	Arbeitslager für Flüchtlinge
157	Sierre	1943-03-08		NULL	Arbeitslager für Flüchtlinge
158	Morcote	1945-11-01		Villa Bianchi	Flüchtlingsheim und Werkstätten
158	Prégny	1947-05-19		NULL	Flüchtlingsheim
158	Les Avants	1947-05-04		Grand Hotel	Flüchtlingsheim
161	Büren a/A	1942-01-01		NULL	Arbeitslager für Flüchtlinge
161	Prêles	1943-01-01		Mon Souhait	Flüchtlingsheim
161	Schönengrund	1943-03-01		NULL	Arbeitslager für Emigranten
161	Champéry / Col de Coux	1943-03-15		NULL	Arbeitslager für Flüchtlinge
161	Mezzovico	1943-07-01		NULL	Arbeitslager für Flüchtlinge
162	Brissago	1943-07-01		unbekannt	Flüchtlingsheim
162	Champel	1942-01-01		Villa Hirondelles	unbekannt
164	Zürichhorn	1942-04-01		NULL	Sonderbetrieb
164	Gordola	1941-02-01		NULL	Arbeitslager für Emigranten und Flüchtlinge
164	Sattelegg	1940-09-01		NULL	Arbeitslager für Emigranten
168	Serneus	1944-09-06		Bad	Flüchtlingsheim
168	Unterrealta	1944-09-04		NULL	Interniertenlager
175	Sierre	1944-02-24		NULL	Arbeitslager für Flüchtlinge
175	St. Cergue	1944-03-01		Auberson	Flüchtlingsheim
176	Champéry	1943-09-01		Villa Sévigné	Flüchtlingsheim
177	Heiden	1955-04-27		Wartheim	Kinderheim
181	Zürich	1945-11-01		Mainaustr.33	Flickstube
183	La Rosiaz - Lausanne	1943-08-01		Mont Choisi	Flüchtlingsheim
183	Basel	1945-07-01		Leonhardstr. 28	Flüchtlingsheim
183	Beatenberg	1945-01-01		Jungfraublick	Flüchtlingsheim
185	Basel	1940-11-15		Hammerstrasse	Flüchtlingsheim
185	Bellechasse	1939-10-17		NULL	Strafanstalt
187	Prêles	1943-01-01		Mon Souhait	Flüchtlingsheim
192	Churwalden	1944-06-01		Lindenhof	Interniertenheim
194	Prêles	1943-02-01		Mon Souhait	Flüchtlingsheim
194	Gelterkinden - Waldegg	1943-07-16		NULL	Arbeitslager für Flüchtlinge
195	Champel	1943-02-01		Villa Hirondelles	unbekannt
201	Davos	1952-03-06		Etania	Sanatorium
204	Adliswil	1943-02-01		NULL	Auffanglager
204	St. Cergue	1943-08-01		Observatoire	Flüchtlingsheim
204	Girenbad bei Hinwil	1942-10-01		NULL	Auffanglager
206	Les Avants	1945-02-21		Des Sports	Flüchtlingsheim
